"name","whitelist","blacklist","wpercentage","bpercentage","sum","wnorm","bnorm","remainder","wrnorm","wbnorm","tentropy","fentropy","centropy","gain"
"Microsoft_Visual_Basic_v50v60_additional","169","9665","0.001615354","0.05382602","9834","0.01718528","0.9828147","274347","0.3807295","0.6192705","0.1253307","0.958555626","0.9297221","0.01951825"
"Microsoft_Visual_Basic_v50v60","169","9665","0.001615354","0.05382602","9834","0.01718528","0.9828147","274347","0.3807295","0.6192705","0.1253307","0.958555626","0.9297221","0.01951825"
"Win_Downloader_Dadobra_31","75","8867","0.000716873","0.04938182","8942","0.008387385","0.9916126","275239","0.3798372","0.6201628","0.06990207","0.957926932","0.9299845","0.0192559"
"PEiD_01060_Microsoft_Visual_C____Basic__NET_","12688","6358","0.1212758","0.03540878","19046","0.6661766","0.3338234","265135","0.3467403","0.6532596","0.9187851","0.931123163","0.9302962","0.01894411"
"ms_vc_net","12686","6357","0.1212567","0.03540321","19043","0.6661766","0.3338234","265138","0.346744","0.6532561","0.9187852","0.931126471","0.9302995","0.01894089"
"UPX_OEP_place","127","8528","0.001213905","0.04749388","8655","0.0146736","0.9853264","275526","0.3792528","0.6207472","0.110385","0.95751257","0.9317125","0.01752787"
"screenshot","15874","51166","0.1517286","0.2849521","67040","0.236784","0.763216","217141","0.4087068","0.5912932","0.7896512","0.975816424","0.931899","0.01734144"
"PEiD_02445_UPX_v0_89_6___v1_02___v1_05___v1_22_Modified_","101","8140","0.000965389","0.04533304","8241","0.01225579","0.9877442","275940","0.378778","0.621222","0.09540168","0.957174384","0.9321837","0.01705664"
"pony","0","7032","0","0.0391624","7032","0","1","277149","0.3774901","0.6225099","0","0.956250044","0.9325879","0.01665254"
"CRC32_poly_Constant","11141","40083","0.1064891","0.223229","51224","0.2174957","0.7825043","232957","0.4012758","0.5987242","0.7555683","0.971691983","0.9327354","0.01650497"
"cred_ff","30","7306","0.000286749","0.04068835","7336","0.004089422","0.9959106","276845","0.3777962","0.6222038","0.03833272","0.956470694","0.9327694","0.01647098"
"_Visual_Cpp_2005_DLL__Microsoft_","4724","574","0.04515346","0.003196703","5298","0.8916572","0.1083428","278883","0.358204","0.641796","0.4948969","0.94118225","0.9328621","0.01637824"
"Visual_Cpp_2005_Release_Microsoft","4996","752","0.04775332","0.004188015","5748","0.8691719","0.1308281","278433","0.357806","0.642194","0.5597049","0.940846927","0.9331377","0.01610263"
"Win_Spyware_Zbot_1279","2354","16778","0.02250026","0.09343952","19132","0.1230399","0.87696","265049","0.3858419","0.6141582","0.5380364","0.962063663","0.9335167","0.01572362"
"Str_Win32_Internet_API","4395","22189","0.04200878","0.1235743","26584","0.165325","0.834675","257597","0.3890806","0.6109194","0.6468978","0.964203675","0.934521","0.01471939"
"Microsoft_Visual_Cpp_80","3062","60","0.02926755","0.00033415","3122","0.9807816","0.01921845","281059","0.3613441","0.638656","0.1370296","0.943793207","0.9349301","0.01431023"
"UPX_290_LZMA_additional","49","6396","0.000468357","0.03562041","6445","0.007602793","0.9923972","277736","0.3765158","0.6234842","0.06444471","0.955544048","0.9353346","0.01390575"
"UPX_290_LZMA","50","6397","0.000477916","0.03562598","6447","0.007755545","0.9922445","277734","0.3765149","0.6234851","0.06551607","0.955543401","0.935352","0.01388835"
